order_id,date,customer_id,age,gender,city,region,income,category,subcategory,price,quantity,discount_percent,final_amount,payment_method,customer_segment,marketing_campaign,marketing_channel,device_type,shipping_method,satisfaction_rating,returned,acquisition_source,customer_lifetime_value,retention_score,month,year,day_of_week,quarter,season,registration_date,days_since_registration,Average Order Value,revenue_per_customer,discount_amount,gross_revenue,net_revenue,roi,conversion_rate
ORD010000,2023-02-06,CUST02160,50,Male,Luxor,Upper Egypt,5374,Health,Personal Care,678,8,0,5424.0,Bank Transfer,Budget,No Campaign,Print,Desktop,Store Pickup,3.4,False,Event,65088.0,44.0,2,2023,Monday,Q1,Winter,2021-05-24,623,678.0,1.8189134808853118,0.0,5424,5424.0,inf,4
ORD010001,2023-05-13,CUST01941,63,Female,Tanta,Delta,7235,Health,Pharmacy,482,8,0,-3856.0,Credit Card,Regular,No Campaign,Outdoor,Mobile,Standard,3.9,True,Direct,-189715.2,61.0,5,2023,Saturday,Q2,Spring,2021-05-28,715,-482.0,-1.2930918846411805,0.0,3856,-3856.0,-inf,9
ORD010002,2023-12-01,CUST02824,51,Female,Sohag,Upper Egypt,4565,Electronics,Gaming,6753,1,14,5807.58,Credit Card,Budget,Holiday Special,Direct,Mobile,Standard,4.4,False,TV Ad,97567.34,69.0,12,2023,Friday,Q4,Winter,2021-04-01,974,5807.58,1.9475452716297788,945.42,6753,5807.58,5.142857142857143,5
ORD010003,2022-01-13,CUST00372,42,Female,Sharm El Sheikh,Red Sea,9278,Health,Supplements,361,6,0,2166.0,Gift Card,Regular,No Campaign,Referral,Mobile,Store Pickup,3.2,False,Partnership,85773.6,66.0,1,2022,Thursday,Q1,Winter,2021-12-29,15,361.0,0.7263581488933601,0.0,2166,2166.0,inf,7
ORD010004,2022-01-16,CUST02347,38,Female,Giza,Greater Cairo,9345,Electronics,Smartphones,3148,3,33,-6327.48,Buy Now Pay Later,Regular,New Year,Direct,Mobile,Standard,4.1,True,Paid Search,-129080.59,69.0,1,2022,Sunday,Q1,Winter,2021-12-23,24,-2109.16,-2.121891348088531,1038.84,9444,-6327.48,-7.090909090909091,3
ORD010005,2023-10-30,CUST00354,66,Male,Luxor,Upper Egypt,7752,Automotive,Tools,698,1,29,495.58,Credit Card,Regular,Flash Sale,Outdoor,Desktop,Store Pickup,4.0,False,Email,27356.02,69.0,10,2023,Monday,Q4,Fall,2021-09-27,763,495.58,0.1661904761904762,202.42,698,495.58,1.4482758620689655,4
ORD010006,2023-10-29,CUST01990,68,Male,Sharm El Sheikh,Red Sea,9381,Clothing,Formal,952,3,42,1656.48,Credit Card,Premium,Flash Sale,Referral,Tablet,Express,4.6,False,Email,55657.73,93.0,10,2023,Sunday,Q4,Fall,2021-12-16,682,552.16,0.5554929577464789,399.84,2856,1656.48,3.1428571428571432,4
ORD010007,2021-05-17,CUST00198,28,Male,Giza,Greater Cairo,13302,Electronics,Gaming,7285,1,0,7285.0,Digital Wallet,Premium,No Campaign,Referral,Desktop,Same Day,3.7,False,Affiliate,271002.0,63.0,5,2021,Monday,Q2,Spring,2021-05-11,6,7285.0,2.44299128101945,0.0,7285,7285.0,inf,8
ORD010008,2023-11-15,CUST01854,21,Male,Luxor,Upper Egypt,2941,Sports,Outdoor,570,3,13,1487.7,Digital Wallet,First-time,Black Friday,TV,Mobile,Express,3.5,False,Affiliate,82121.04,50.0,11,2023,Wednesday,Q4,Fall,2021-12-18,697,495.90000000000003,0.4988933601609658,74.1,1710,1487.7,19.07692307692308,7
ORD010009,2021-07-06,CUST01360,34,Female,Mansoura,Delta,4163,Clothing,Shoes,648,2,28,933.12,Cash on Delivery,First-time,Flash Sale,Influencer,Mobile,Standard,4.3,False,Affiliate,36951.55,88.0,7,2021,Tuesday,Q3,Summer,2021-06-11,25,466.56,0.31291750503018106,181.44,1296,933.12,4.142857142857143,5
ORD010010,2023-04-12,CUST00264,55,Male,Sohag,Upper Egypt,8876,Food,Organic,134,6,12,-707.52,Debit Card,Regular,Ramadan,Direct,Desktop,Express,3.5,True,Direct,-32262.91,47.0,4,2023,Wednesday,Q2,Spring,2021-09-30,559,-117.92,-0.2372635814889336,16.08,804,-707.52,-45.00000000000001,5
ORD010011,2021-11-05,CUST00059,44,Male,Port Said,Suez Canal,11156,Books,Children,233,3,37,440.37,Credit Card,Premium,Holiday Special,Social Media,Smart TV,Express,3.8,False,Email,25365.31,71.0,11,2021,Friday,Q4,Fall,2021-10-14,22,146.79,0.14767605633802816,86.21,699,440.37,4.108108108108109,2
ORD010012,2023-03-03,CUST00353,49,Female,Sharm El Sheikh,Red Sea,9255,Books,Fiction,130,1,25,97.5,Mobile Payment,Premium,Mother Day,TV,Mobile,Same Day,4.7,False,TV Ad,5616.0,73.0,3,2023,Friday,Q1,Spring,2021-10-27,492,97.5,0.032696177062374245,32.5,130,97.5,2.0,7
ORD010013,2023-01-28,CUST01019,48,Female,Zagazig,Delta,7880,Travel,Electronics,1482,2,0,2964.0,Bank Transfer,Regular,No Campaign,TV,Mobile,Standard,3.8,False,Paid Search,152942.4,73.0,1,2023,Saturday,Q1,Winter,2021-12-16,408,1482.0,0.993963782696177,0.0,2964,2964.0,inf,5
ORD010014,2022-09-20,CUST02642,31,Female,Suez,Suez Canal,8700,Beauty,Fragrance,273,4,0,1092.0,Bank Transfer,Regular,No Campaign,Affiliate,Mobile,Store Pickup,3.6,False,TV Ad,14414.4,61.0,9,2022,Tuesday,Q3,Fall,2021-09-22,363,273.0,0.36619718309859156,0.0,1092,1092.0,inf,7
ORD010015,2021-10-05,CUST00533,58,Female,Giza,Greater Cairo,15878,Software,Security,1256,1,8,1155.52,Credit Card,Premium,Back to School,Email,Mobile,Next Day,4.9,False,Direct,63784.7,81.0,10,2021,Tuesday,Q4,Fall,2021-09-26,9,1155.52,0.3874983232729712,100.48,1256,1155.52,10.5,8
ORD010016,2024-01-23,CUST00766,54,Female,Alexandria,Alexandria,14569,Health,Supplements,230,1,0,230.0,Mobile Payment,Premium,No Campaign,Affiliate,Tablet,Express,3.5,False,Email,6348.0,58.0,1,2024,Tuesday,Q1,Winter,2021-06-27,940,230.0,0.07712944332662643,0.0,230,230.0,inf,7
ORD010017,2023-12-19,CUST00727,26,Male,Ismailia,Suez Canal,6748,Electronics,Cameras,3708,3,7,10345.32,Mobile Payment,Regular,Holiday Special,Outdoor,Mobile,Standard,3.4,False,Affiliate,260702.06,44.0,12,2023,Tuesday,Q4,Winter,2021-08-19,852,3448.44,3.469255533199195,259.56,11124,10345.32,38.857142857142854,3
ORD010018,2023-04-03,CUST01325,25,Female,Zagazig,Delta,7570,Travel,Guides,409,1,27,298.57,Mobile Payment,Regular,Spring Sale,TV,Mobile,Standard,3.6,False,Print Ad,12898.22,67.0,4,2023,Monday,Q2,Spring,2021-05-17,686,298.57,0.10012407780013413,110.43,409,298.57,1.7037037037037035,7
ORD010019,2023-06-29,CUST02304,33,Male,Sharm El Sheikh,Red Sea,6748,Home & Garden,Tools,353,3,0,1059.0,Buy Now Pay Later,Regular,No Campaign,Print,Desktop,Standard,3.9,False,Social Media,60998.4,73.0,6,2023,Thursday,Q2,Summer,2021-03-22,829,353.0,0.3551307847082495,0.0,1059,1059.0,inf,6
ORD010020,2022-02-04,CUST02977,35,Female,Sharm El Sheikh,Red Sea,5146,Beauty,Fragrance,797,7,0,5579.0,Bank Transfer,Budget,No Campaign,Outdoor,Tablet,Standard,3.3,False,Social Media,187454.4,63.0,2,2022,Friday,Q1,Winter,2021-02-23,346,797.0,1.8708920187793427,0.0,5579,5579.0,inf,8
ORD010021,2021-11-04,CUST01577,49,Female,Cairo,Greater Cairo,11712,Travel,Comfort,579,3,38,1076.94,Mobile Payment,Premium,Black Friday,Email,Smart TV,Same Day,4.8,False,Direct,60739.42,84.0,11,2021,Thursday,Q4,Fall,2021-10-23,12,358.98,0.3611468812877264,220.02,1737,1076.94,3.8947368421052633,4
ORD010022,2023-12-03,CUST02707,37,Male,Zagazig,Delta,6921,Books,Children,182,2,37,229.32,Digital Wallet,Budget,Black Friday,Affiliate,Desktop,Express,4.1,False,Email,4402.94,70.0,12,2023,Sunday,Q4,Winter,2021-05-26,921,114.66,0.07690140845070423,67.34,364,229.32,2.4054054054054053,10
ORD010023,2023-11-29,CUST02396,38,Male,Mansoura,Delta,4891,Electronics,Gaming,9060,2,36,11596.8,Digital Wallet,Budget,Black Friday,Outdoor,Mobile,Standard,4.2,False,Event,681891.84,69.0,11,2023,Wednesday,Q4,Fall,2021-03-26,978,5798.4,3.888933601609658,3261.6,18120,11596.8,2.5555555555555554,5
ORD010024,2022-06-02,CUST02311,66,Male,Suez,Suez Canal,10818,Books,Educational,434,2,12,763.84,Cash on Delivery,Regular,Flash Sale,Search Engine,Mobile,Standard,4.4,False,Partnership,24748.42,66.0,6,2022,Thursday,Q2,Summer,2021-08-28,278,381.92,0.25615023474178406,52.08,868,763.84,13.666666666666666,2
ORD010025,2023-12-02,CUST02136,44,Male,Giza,Greater Cairo,11842,Sports,Apparel,1291,3,0,3873.0,Credit Card,Premium,No Campaign,Direct,Desktop,Same Day,4.3,False,TV Ad,74361.6,75.0,12,2023,Saturday,Q4,Winter,2021-01-03,1063,1291.0,1.2987927565392354,0.0,3873,3873.0,inf,7
ORD010026,2023-11-17,CUST00350,41,Female,Luxor,Upper Egypt,8138,Automotive,Accessories,1351,3,0,4053.0,Digital Wallet,Regular,No Campaign,Affiliate,Mobile,Store Pickup,3.9,False,Social Media,199407.6,62.0,11,2023,Friday,Q4,Fall,2021-05-06,925,1351.0,1.3591549295774648,0.0,4053,4053.0,inf,6
ORD010027,2023-06-15,CUST00430,38,Male,Tanta,Delta,6062,Health,Medical Devices,369,6,0,2214.0,Bank Transfer,Regular,No Campaign,Affiliate,Smart TV,Express,3.3,False,Email,119556.0,70.0,6,2023,Thursday,Q2,Summer,2021-03-26,811,369.0,0.7424547283702213,0.0,2214,2214.0,inf,3
ORD010028,2022-04-14,CUST01897,53,Female,Mansoura,Delta,6976,Software,Business,1480,1,0,1480.0,Debit Card,Budget,No Campaign,Email,Desktop,Store Pickup,3.4,False,Referral,65712.0,70.0,4,2022,Thursday,Q2,Spring,2021-10-24,172,1480.0,0.49631120053655264,0.0,1480,1480.0,inf,5
ORD010029,2023-05-23,CUST00868,68,Male,Ismailia,Suez Canal,10863,Health,Medical Devices,493,6,30,2070.6,Cash on Delivery,Regular,Flash Sale,Outdoor,Mobile,Express,4.1,False,Email,86965.2,83.0,5,2023,Tuesday,Q2,Spring,2021-12-06,533,345.09999999999997,0.6943661971830986,147.9,2958,2070.6,12.999999999999998,5
ORD010030,2021-11-04,CUST01226,33,Male,Alexandria,Alexandria,13784,Books,Non-Fiction,291,1,0,291.0,Credit Card,VIP,No Campaign,Mobile App,Tablet,Same Day,3.5,False,Print Ad,10476.0,49.0,11,2021,Thursday,Q4,Fall,2021-02-22,255,291.0,0.09758551307847083,0.0,291,291.0,inf,7
ORD010031,2023-02-15,CUST01225,65,Female,Port Said,Suez Canal,8365,Books,Children,154,3,12,406.56,Digital Wallet,Premium,Valentine,Radio,Mobile,Same Day,4.0,False,Email,13660.42,65.0,2,2023,Wednesday,Q1,Winter,2021-10-30,473,135.52,0.13633802816901408,18.48,462,406.56,21.0,8
ORD010032,2023-12-12,CUST00578,61,Female,Ismailia,Suez Canal,6411,Books,Educational,156,4,26,461.76,Cash on Delivery,Budget,Black Friday,Referral,Mobile,Standard,3.5,False,Print Ad,19393.92,59.0,12,2023,Tuesday,Q4,Winter,2021-12-08,734,115.44,0.15484909456740442,40.56,624,461.76,10.384615384615383,6
ORD010033,2022-10-22,CUST02197,69,Male,Giza,Greater Cairo,14765,Home & Garden,Decor,1656,1,0,1656.0,Mobile Payment,Premium,No Campaign,Outdoor,Desktop,Express,4.0,False,Event,39744.0,72.0,10,2022,Saturday,Q4,Fall,2021-12-15,311,1656.0,0.5553319919517102,0.0,1656,1656.0,inf,6
ORD010034,2021-02-27,CUST01216,62,Male,Port Said,Suez Canal,9692,Books,Non-Fiction,132,2,41,155.76,Mobile Payment,Premium,Valentine,Direct,Tablet,Next Day,4.8,False,Email,5233.54,93.0,2,2021,Saturday,Q1,Winter,2021-01-26,32,77.88,0.05223340040241448,54.12,264,155.76,1.8780487804878048,5
ORD010035,2023-09-17,CUST00283,29,Female,Tanta,Delta,8276,Sports,Fitness,465,2,0,930.0,Credit Card,Premium,No Campaign,TV,Mobile,Next Day,3.9,False,TV Ad,16740.0,83.0,9,2023,Sunday,Q3,Fall,2021-09-25,722,465.0,0.3118712273641851,0.0,930,930.0,inf,4
ORD010036,2022-11-12,CUST00738,47,Female,Suez,Suez Canal,10231,Travel,Luggage,206,2,24,313.12,Mobile Payment,Premium,Holiday Special,Print,Mobile,Same Day,5.0,False,Influencer,8266.37,93.0,11,2022,Saturday,Q4,Fall,2021-11-13,364,156.56,0.10500335345405767,49.44,412,313.12,5.333333333333334,4
ORD010037,2022-05-17,CUST00571,50,Male,Giza,Greater Cairo,8538,Beauty,Tools,171,1,5,162.45,Credit Card,Regular,Flash Sale,TV,Mobile,Store Pickup,4.2,False,Affiliate,8382.42,89.0,5,2022,Tuesday,Q2,Spring,2021-06-07,344,162.45,0.05447686116700201,8.55,171,162.45,17.999999999999996,5
ORD010038,2021-08-21,CUST02752,19,Male,Giza,Greater Cairo,13707,Software,Productivity,163,4,0,652.0,Credit Card,VIP,No Campaign,Affiliate,Desktop,Next Day,3.7,False,Event,36772.8,49.0,8,2021,Saturday,Q3,Summer,2021-06-27,55,163.0,0.21864520456069753,0.0,652,652.0,inf,7
ORD010039,2023-05-23,CUST02466,32,Male,Giza,Greater Cairo,8902,Home & Garden,Furniture,1273,1,43,-725.61,Digital Wallet,Premium,Flash Sale,Outdoor,Mobile,Express,4.6,True,Partnership,-8707.32,90.0,5,2023,Tuesday,Q2,Spring,2021-04-20,763,-725.61,-0.24332997987927565,547.39,1273,-725.61,-2.3255813953488373,5
ORD010040,2021-08-07,CUST00481,59,Male,Tanta,Delta,5544,Food,Dairy,214,2,0,428.0,Debit Card,Regular,No Campaign,Mobile App,Mobile,Store Pickup,3.8,False,Referral,18489.6,71.0,8,2021,Saturday,Q3,Summer,2021-08-07,0,214.0,0.14352783366867874,0.0,428,428.0,inf,4
ORD010041,2023-02-02,CUST00106,61,Male,Damanhur,Delta,9951,Books,Fiction,89,4,33,238.52,Credit Card,Regular,Valentine,Outdoor,Mobile,Standard,4.2,False,Influencer,10017.84,75.0,2,2023,Thursday,Q1,Winter,2021-11-18,441,59.63,0.07998658618376929,29.37,356,238.52,7.121212121212121,4
ORD010042,2023-05-10,CUST02799,26,Female,Alexandria,Alexandria,8262,Home & Garden,Furniture,2070,3,0,6210.0,Mobile Payment,Premium,No Campaign,Search Engine,Smart TV,Next Day,4.5,False,Referral,111780.0,94.0,5,2023,Wednesday,Q2,Spring,2021-03-20,781,2070.0,2.0824949698189137,0.0,6210,6210.0,inf,7
ORD010043,2022-01-12,CUST01187,50,Male,Cairo,Greater Cairo,15591,Home & Garden,Tools,398,3,36,764.16,Digital Wallet,VIP,New Year,Search Engine,Mobile,Next Day,5.0,False,TV Ad,21090.82,90.0,1,2022,Wednesday,Q1,Winter,2021-03-01,317,254.72,0.25625754527162975,143.28,1194,764.16,4.333333333333333,5
